label,text
spam,You are selected for a FREE voucher! Reply STOP to unsubscribe.
spam,Security alert: suspicious login detected. Reset at http://offer-now.com.
ham,Let’s work on the project this weekend.
ham,I'll be late by 10 minutes.
ham,Did you receive my email?
spam,Congratulations! You have won a iPhone. Click http://secure-check.com to claim now.
ham,Happy birthday! Have a great day.
spam,You've been chosen for a gift card. Act now: http://bit.ly/claim.
ham,Can you send me the notes from today's lecture?
spam,Hot stock tip! Double your money. More info: http://tinyurl.com/verify.
ham,Sharing the slides shortly.
ham,Don't forget the class at 2pm.
ham,Let’s have lunch at Maldives around 10am.
spam,Congratulations! You have won a MacBook. Click http://tinyurl.com/verify to claim now.
spam,URGENT: Your account will be suspended. Verify at http://tinyurl.com/verify.
spam,Security alert: suspicious login detected. Reset at http://secure-check.com.
ham,Server maintenance scheduled at 8pm.
ham,I'll call you after 6pm.
ham,Where are you now?
spam,URGENT: Your account will be suspended. Verify at http://secure-check.com.
ham,Can you send me the notes from today's lecture?
ham,Can you send me the notes from today's lecture?
spam,You've been chosen for a voucher. Act now: http://tinyurl.com/verify.
spam,Get rich quick! Earn $500 per week. Sign up at http://bit.ly/claim.
spam,Hot stock tip! Double your money. More info: http://bit.ly/claim.
spam,Exclusive deal ends today. Confirm here: http://secure-check.com.
spam,Final notice: Outstanding payment of $500. Pay at http://offer-now.com.
ham,The assignment is due on Friday.
ham,Call me when you're free.
ham,Meeting rescheduled to 2pm.
spam,Congratulations! You have won a smartwatch. Click http://tinyurl.com/verify to claim now.
spam,New message: 'You won'. Read at http://secure-check.com.
ham,Don't forget the class at 2pm.
spam,You are selected for a FREE iPhone! Reply STOP to unsubscribe.
ham,Sharing the slides shortly.
spam,Final notice: Outstanding payment of $2500. Pay at http://offer-now.com.
ham,Don't forget the class at 8pm.
spam,New message: 'You won'. Read at http://tinyurl.com/verify.
ham,Sharing the slides shortly.
spam,Claim your reward card worth $1000 at http://secure-check.com.
spam,"Final notice: Outstanding payment of $10,000. Pay at http://tinyurl.com/verify."
spam,Congratulations! You have won a MacBook. Click http://bit.ly/claim to claim now.
spam,"Claim your reward card worth $10,000 at http://tinyurl.com/verify."
ham,Sharing the slides shortly.
spam,Security alert: suspicious login detected. Reset at http://secure-check.com.
ham,Don't forget the class at 6pm.
spam,Limited time offer! Get 60% off on laptop. Visit http://tinyurl.com/verify.
ham,Sharing the slides shortly.
spam,Your parcel is waiting for delivery fee. Pay at http://bit.ly/claim.
spam,Final notice: Outstanding payment of $2500. Pay at http://tinyurl.com/verify.
spam,Exclusive deal ends today. Confirm here: http://bit.ly/claim.
ham,Call me when you're free.
ham,Server maintenance scheduled at 2pm.
spam,You won a lottery of $1000. Provide details at http://offer-now.com.
spam,You won a lottery of $2500. Provide details at http://tinyurl.com/verify.
spam,You won a lottery of $1000. Provide details at http://secure-check.com.
spam,URGENT: Your account will be suspended. Verify at http://tinyurl.com/verify.
ham,Meeting rescheduled to 4:30pm.
ham,Let’s have lunch at Goa around 10am.
ham,Did you receive my email?
spam,Security alert: suspicious login detected. Reset at http://tinyurl.com/verify.
ham,Call me when you're free.
